Question ID: 1; Prediction: b; Correct Answer: c; [[-934.96529606564036], [-920.06105536259679], [-983.75811539794893], [-972.30237719994318], [-973.40980363812582]]; False.
Question ID: 2; Prediction: a; Correct Answer: a; [[-731.78020664035319], [-816.53955962040072], [-829.02049702107649], [-749.01229855391523], [-785.51072683285372]]; True.
Question ID: 3; Prediction: a; Correct Answer: d; [[-797.71826690787702], [-916.46496150691314], [-819.06819076664806], [-881.56662763935924], [-986.02132958968491]]; False.
Question ID: 4; Prediction: a; Correct Answer: c; [[-719.43100964565747], [-806.59583887393194], [-834.94829328725814], [-749.44850334086459], [-823.31765271621498]]; False.
Question ID: 5; Prediction: b; Correct Answer: d; [[-757.91213523844476], [-717.35939592845489], [-801.72355266771251], [-750.57623967916834], [-726.11138834751262]]; False.
Question ID: 6; Prediction: d; Correct Answer: b; [[-1014.8155581061084], [-1170.25658027034], [-1126.0293334732407], [-932.63073525857305], [-1102.0251093106569]]; False.
Question ID: 7; Prediction: d; Correct Answer: b; [[-1049.6702238851119], [-1031.453707383982], [-1017.5602187482704], [-943.81062847813484], [-1064.0961532402155]]; False.
Question ID: 8; Prediction: a; Correct Answer: c; [[-734.4885967958071], [-912.07347085867286], [-961.56422890978638], [-1000.5548216770044], [-848.60049169964441]]; False.
Question ID: 9; Prediction: a; Correct Answer: c; [[-707.83945773882022], [-715.80017171320719], [-920.88823757746832], [-811.86168244015846], [-839.29546142248341]]; False.
Question ID: 10; Prediction: d; Correct Answer: a; [[-870.52035687219734], [-895.63640516256544], [-866.95853160017987], [-812.97957742074789], [-954.50421703309769]]; False.
Question ID: 11; Prediction: e; Correct Answer: b; [[-724.62587363493537], [-751.18397809524811], [-723.10794161759077], [-828.63047348289467], [-662.79515480447355]]; False.
Question ID: 12; Prediction: a; Correct Answer: b; [[-564.88385467507737], [-709.66161856059728], [-722.66687864944754], [-594.73025833101588], [-649.08764904571194]]; False.
Question ID: 13; Prediction: b; Correct Answer: d; [[-801.15666643251836], [-713.99261317757271], [-813.57826690618901], [-815.58534392626882], [-822.6133678742525]]; False.
Question ID: 14; Prediction: a; Correct Answer: e; [[-544.41370242527125], [-883.31673553912901], [-833.50344780681473], [-778.4793310610695], [-927.23962102858297]]; False.
Question ID: 15; Prediction: a; Correct Answer: c; [[-715.81883669965475], [-762.13237566201371], [-749.05127083608966], [-745.93128543918533], [-747.5961453167979]]; False.
Question ID: 16; Prediction: e; Correct Answer: c; [[-1145.0140330105758], [-1077.3925794137642], [-1077.2318551481828], [-1013.444177988731], [-1006.0169591686757]]; False.
Question ID: 17; Prediction: b; Correct Answer: e; [[-782.59394058531586], [-771.07811103520805], [-903.17217465269766], [-788.65693924190157], [-823.01329194745756]]; False.
Question ID: 18; Prediction: c; Correct Answer: a; [[-1035.3505987574169], [-1038.2379519357316], [-907.97746422888713], [-1095.3546702055455], [-932.8028742246355]]; False.
Question ID: 19; Prediction: d; Correct Answer: e; [[-865.11222218806381], [-952.12526824187432], [-919.67453042260161], [-704.36397917514421], [-912.25170962743323]]; False.
Question ID: 20; Prediction: a; Correct Answer: c; [[-693.04372105759489], [-754.16370742678816], [-728.59074572929546], [-783.55616124257722], [-825.43785666219503]]; False.
Question ID: 21; Prediction: d; Correct Answer: d; [[-608.22193918704158], [-589.94869355784442], [-628.61159969011896], [-429.10199103377437], [-499.19995412823016]]; True.
Question ID: 22; Prediction: c; Correct Answer: a; [[-975.16095602978339], [-973.40936944774978], [-947.34434199894167], [-1037.6806497848422], [-956.23056103805948]]; False.
Question ID: 23; Prediction: b; Correct Answer: d; [[-715.2613470064108], [-383.91629426799108], [-665.7828652981317], [-571.51308889642155], [-627.58400343661117]]; False.
Question ID: 24; Prediction: b; Correct Answer: c; [[-1001.9899673579991], [-976.36375949752619], [-982.7196168379138], [-1016.5068115897822], [-997.72427545329117]]; False.
Question ID: 25; Prediction: c; Correct Answer: d; [[-948.12064802819305], [-925.21909148350824], [-884.11427606197822], [-900.60345216958945], [-1016.1960362649897]]; False.
Question ID: 26; Prediction: c; Correct Answer: b; [[-1110.9496849787436], [-1020.4313339714483], [-902.92293780480236], [-955.58757460022946], [-933.69668258183526]]; False.
Question ID: 27; Prediction: b; Correct Answer: d; [[-968.14346880702794], [-904.27526597159817], [-965.1144455605853], [-966.16576791800208], [-1040.0905746633762]]; False.
Question ID: 28; Prediction: a; Correct Answer: c; [[-961.63973880918479], [-1035.0426230430171], [-1023.3774241094724], [-1029.6242613046945], [-963.98574907573743]]; False.
Question ID: 29; Prediction: b; Correct Answer: d; [[-984.35096061864067], [-926.40093581765575], [-987.03586935517399], [-1031.6324716852675], [-974.27222969186619]]; False.
Question ID: 30; Prediction: c; Correct Answer: d; [[-972.48583143708595], [-1018.1894983584683], [-834.06589405431146], [-983.4111057957557], [-1074.6586457466753]]; False.
Question ID: 31; Prediction: a; Correct Answer: d; [[-761.32602817230713], [-853.33960748663321], [-845.95094108502587], [-810.95677444907415], [-859.87621591548714]]; False.
Question ID: 32; Prediction: a; Correct Answer: d; [[-1040.0456058198656], [-1095.8568281603038], [-1165.2065140975346], [-1106.2994453603997], [-1141.5942474333526]]; False.
